time,height
2025-02-01T00:00:00,0.1720
2025-02-01T01:00:00,0.9121
2025-02-01T02:00:00,1.4534
2025-02-01T03:00:00,1.6525
2025-02-01T04:00:00,1.4510
2025-02-01T05:00:00,0.8905
2025-02-01T06:00:00,0.1035
2025-02-01T07:00:00,-0.7199
2025-02-01T08:00:00,-1.3795
2025-02-01T09:00:00,-1.7156
2025-02-01T10:00:00,-1.6488
2025-02-01T11:00:00,-1.2006
2025-02-01T12:00:00,-0.4875
2025-02-01T13:00:00,0.3088
2025-02-01T14:00:00,0.9877
2025-02-01T15:00:00,1.3807
2025-02-01T16:00:00,1.3945
2025-02-01T17:00:00,1.0345
2025-02-01T18:00:00,0.4031
2025-02-01T19:00:00,-0.3266
2025-02-01T20:00:00,-0.9563
2025-02-01T21:00:00,-1.3133
2025-02-01T22:00:00,-1.2956
2025-02-01T23:00:00,-0.8993
2025-02-02T00:00:00,-0.2198
2025-02-02T01:00:00,0.5715
2025-02-02T02:00:00,1.2709
2025-02-02T03:00:00,1.6941
2025-02-02T04:00:00,1.7239
2025-02-02T05:00:00,1.3405
2025-02-02T06:00:00,0.6275
2025-02-02T07:00:00,-0.2485
2025-02-02T08:00:00,-1.0794
2025-02-02T09:00:00,-1.6678
2025-02-02T10:00:00,-1.8760
2025-02-02T11:00:00,-1.6609
2025-02-02T12:00:00,-1.0838
2025-02-02T13:00:00,-0.2947
2025-02-02T14:00:00,0.5066
2025-02-02T15:00:00,1.1211
2025-02-02T16:00:00,1.4016
2025-02-02T17:00:00,1.2894
2025-02-02T18:00:00,0.8285
2025-02-02T19:00:00,0.1535
2025-02-02T20:00:00,-0.5456
2025-02-02T21:00:00,-1.0736
2025-02-02T22:00:00,-1.2808
2025-02-02T23:00:00,-1.1018
2025-02-03T00:00:00,-0.5737
2025-02-03T01:00:00,0.1732
2025-02-03T02:00:00,0.9485
2025-02-03T03:00:00,1.5498
2025-02-03T04:00:00,1.8149
2025-02-03T05:00:00,1.6635
2025-02-03T06:00:00,1.1181
2025-02-03T07:00:00,0.2998
2025-02-03T08:00:00,-0.6024
2025-02-03T09:00:00,-1.3780
2025-02-03T10:00:00,-1.8478
2025-02-03T11:00:00,-1.9082
2025-02-03T12:00:00,-1.5561
2025-02-03T13:00:00,-0.8890
2025-02-03T14:00:00,-0.0795
2025-02-03T15:00:00,0.6697
2025-02-03T16:00:00,1.1767
2025-02-03T17:00:00,1.3266
2025-02-03T18:00:00,1.0996
2025-02-03T19:00:00,0.5744
2025-02-03T20:00:00,-0.0928
2025-02-03T21:00:00,-0.7102
2025-02-03T22:00:00,-1.1007
2025-02-03T23:00:00,-1.1480
2025-02-04T00:00:00,-0.8274
